"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137"
"1",14038.1817648144,9748.73733667665,7162.33763510937,5483.66475188062,4332.77214963407,3509.54544120359,2900.45077785421,2437.18433416916,2076.65410722106,1790.58440877734,1559.79797386826,1370.91618797015,1214.37558519156,1083.19303740852,972.173252410968,877.386360300898,795.81529278993,725.112694463552,663.430140114101,609.296083542291,561.527270592575,519.163526805265,481.419127737118,447.646102194336,417.306235577122,389.949493467066,365.197236337523,342.729046992538,322.272308650468,303.593896297889,286.493505404375,270.798259352129,256.358322951322,243.043313102742,230.739345246785,219.346590075225,208.777242189387,198.953823197483,189.807757771963,181.278173615888,173.310885985363,165.857535028525,158.874850212929,152.324020885573,146.170155818559,140.381817648144,65008.9404581368,45145.0975403727,33167.8267643555,25394.1173664597,20064.4877957212,16252.2351145342,13431.5992682101,11286.2743850932,9616.70716836343,8291.95669108887,7223.21560645964,6348.52934161492,5623.61076627481,5016.12194893031,4502.00418685158,4063.05877863355,3685.31408492839,3357.89981705252,3072.25616531837,2821.5685962733,2600.35761832547,2404.17679209086,2229.38753285791,2072.98917277222,1932.48931207303,1805.80390161491,1691.17951243852,1587.13233540373,1492.39991869001,1405.9026915687,1326.71307057422,1254.03048723258,1187.16107483814,1125.50104671289,1068.52301870705,1015.76469465839,966.819459520178,921.328521232097,878.97431663246,839.47495426313,802.579511828849,768.064041329593,735.728162722236,705.392149068324,676.894423762357,650.089404581368,13953.3531944337,9689.82860724565,7119.05775226211,5450.52859157568,4306.59049210918,3488.33829860843,2882.92421372598,2422.45715181141,2064.10550213517,1779.76443806553,1550.3725771593,1362.63214789392,1207.03747356693,1076.64762302729,966.298697675467,872.084574652108,791.006416918012,720.731053431495,659.421228470404,605.614287952853,558.134127777349,516.026375533792,478.510054678797,444.941109516382,414.784577718006,387.593144289826,362.990457711596,340.65803697348,320.32491263622,301.759368391733,284.762310090484,269.161905756824,254.80922561055,241.574674418867,229.345055792796,218.021143663027,207.515663212875,197.751604229503,188.660805765735,180.182763357874,172.263619684367,164.855307117601,157.914816596127,151.403571988213,145.286892903308
"2",14498.4178267053,10068.3457129898,7397.15195240066,5663.44446355676,4474.82031688435,3624.60445667632,2995.54087328622,2517.08642824745,2144.73636489723,1849.28798810016,1610.93531407837,1415.86111588919,1254.18839331361,1118.70507922109,1004.04555586602,906.151114169081,821.905772488962,748.885218321554,685.180426592878,629.271607061862,579.936713068212,536.184091224308,497.202257431594,462.321997025041,430.987450258778,402.733828519592,377.170078738431,353.965278972297,332.83787480958,313.547098328402,295.886078096026,279.676269805272,264.76292598074,251.011388966504,238.304040544137,226.53777854227,215.621918898056,205.476443122241,196.030527673138,187.221304580389,178.992812675374,171.29510664822,164.083497359725,157.317901765466,150.962284742871,144.984178267053,3887243.76323207,2699474.83557783,1983287.63430208,1518454.59501253,1199766.59359015,971810.940808018,803149.537857866,674868.708894457,575036.059649715,495821.908575519,431915.973692452,379613.648753132,336266.761525266,299941.648397536,269199.706595019,242952.735202004,220365.292700231,200787.384464466,183707.172175429,168717.177223614,155489.750529283,143759.014912429,133307.399287794,123955.47714388,115554.214126994,107978.993423113,101124.967826016,94903.412188283,89238.8375397629,84066.6903813164,79331.5053720831,74985.4120993841,70986.9204388618,67299.9266487547,63892.8955166349,60738.1838005011,57811.4777399178,55091.3231750577,52558.7312497576,50196.8461161166,47990.6637436058,45926.7930438572,43993.2521868727,42179.2943059036,40475.2578428995,38872.4376323207,13818.6760172775,9596.30278977602,7050.34490677422,5397.92031924902,4265.02346212268,3454.66900431937,2855.09835067716,2399.07569744401,2044.18284279253,1762.58622669356,1535.40844636416,1349.48007981225,1195.38719872643,1066.25586553067,956.972023357166,863.667251079842,783.371656308247,713.774587669291,653.056522555647,599.768924361002,552.747040691099,511.045710698132,473.891495791409,440.646556673389,410.78109444939,383.852111591041,359.486889107114,337.370019953063,317.233150075241,298.846799681606,282.013796270969,266.563966382667,252.349817700465,239.243005839292,227.131426976947,215.916812769961,205.512730774502,195.842914077062,186.839859617056,178.443646917323,170.600938484907,163.264130638912,156.390629439537,149.94223109025,143.884589934168
"3",16051.7490147988,11147.0479269436,8189.66786469328,6270.21445890579,4954.24352308606,4012.93725369971,3316.47706917331,2786.76198173591,2374.51908502941,2047.41696617332,1783.52766831098,1567.55361472645,1388.5596033563,1238.56088077151,1111.61696778385,1003.23431342493,909.963096077031,829.119267293328,758.589272911098,696.690495433977,642.069960591953,593.629771257353,550.471502565118,511.85424154333,477.162574756208,445.881917077745,417.579318803299,391.888403681612,368.497452130368,347.139900839075,327.586714587731,309.640220192879,293.129090847313,277.904241945963,263.835453892157,250.808578356232,238.723215568097,227.490774019258,217.032842276891,207.279816823332,198.169740923442,189.647318227774,181.663071693061,174.172623858494,167.136078871291,160.517490147988,35109.8651632364,24381.8508078031,17913.1965118553,13714.7910793892,10836.3781368014,8777.46629080911,7254.10437256951,6095.46270195077,5193.76703598172,4478.29912796383,3901.09612924849,3428.69776984731,3037.18556775402,2709.09453420034,2431.43110548729,2194.36657270228,1990.35516798392,1813.52609314238,1659.25638767658,1523.86567548769,1404.39460652946,1298.44175899543,1204.04201520015,1119.57478199096,1043.69397036969,975.274032312123,913.367980313123,857.174442461827,806.011596952168,759.296391938504,716.527860474213,677.273633550086,641.158969379774,607.857776371822,577.085226220191,548.591643175569,522.157423605539,497.588791995981,474.714239632726,453.381523285595,433.455125472055,414.814096919145,397.350216876827,380.966418871923,365.575439017456,351.098651632364,12633.1014649773,8772.98712845644,6445.45993111085,4934.80525975675,3899.10539042508,3158.27536624432,2610.14493078043,2193.24678211411,1868.80199186054,1611.36498277771,1403.67794055303,1233.70131493919,1092.82884645132,974.776347606271,874.868522505351,789.568841561079,716.162214567872,652.536232695107,597.02747944127,548.311695528527,505.324058599091,467.200497965136,433.233932269454,402.841245694428,375.538093489217,350.919485138258,328.64467910971,308.425328734797,290.016103420048,273.20721161283,257.818397244434,243.694086901568,230.699442384538,218.717130626338,207.644665762283,197.39221039027,187.880747545766,179.040553641968,170.809917049449,163.134058173777,155.964215617003,149.256869860317,142.973081314818,137.077923882132,131.539998594099
