"","Species","Mean","SD","2.5%","12.5%","25%","50%","75%","87.5%","97.5%","100%"
"1","SP1",0.150388277788129,0.146093915317265,0.0233901395317609,0.0356617999136562,0.0430432288979584,0.0583005766873719,0.325829901045136,0.365135431661493,0.412065926467889,0.483502559674074
"2","SP2",0.0986898210143189,0.0988227153841612,0.00304009468615176,0.0082814124946989,0.016087414440706,0.0492882330331837,0.205756265588286,0.243099061934436,0.28701654757258,0.355690585894466
"3","SP3",0.0784365453645488,0.0210574996062814,0.0436543045589928,0.0554219367515634,0.0633312609483657,0.0761949222944446,0.0912969722463681,0.103132792655066,0.124771276936107,0.191972658816698
