Subgrid,V1,V2,V3,V4,Species
N24W29 _1772,0,NA,NA,NA,SP3
N24W29 _1774,0,1,0,0,SP3
N24W29 _1775,1,1,1,0,SP3
N24W29 _1776,0,1,0,0,SP3
N24W29 _1777,0,NA,NA,NA,SP3
N24W31 _1497,0,NA,NA,NA,SP3
N24W31 _1544,0,NA,NA,NA,SP3
N24W32 _1492,0,NA,NA,NA,SP3
N24W32 _1494,0,NA,NA,NA,SP3
N24W32 _1538,0,NA,NA,NA,SP3
N24W32 _1539,0,NA,NA,NA,SP3
N24W33 _1443,0,NA,NA,NA,SP3
N24W33 _1488,0,NA,NA,NA,SP3
N24W33 _1489,0,NA,NA,0,SP3
N24W33 _1490,0,NA,NA,0,SP3
N24W33 _1491,0,0,NA,0,SP3
N24W33 _1533,0,NA,0,NA,SP3
N24W33 _1534,0,NA,0,NA,SP3
N24W33 _1535,0,NA,NA,NA,SP3
N24W33 _1536,0,NA,0,NA,SP3
N24W33 _1578,0,1,0,0,SP3
N24W33 _1579,1,0,0,0,SP3
N24W33 _1581,0,NA,0,NA,SP3
N24W33 _1582,0,NA,0,NA,SP3
N24W33 _1623,0,0,0,0,SP3
N24W33 _1624,0,0,0,0,SP3
N24W33 _1625,1,1,0,0,SP3
N24W33 _1628,0,NA,NA,NA,SP3
N24W33 _1629,0,NA,NA,NA,SP3
N24W33 _1687,1,0,0,0,SP3
N24W33 _1688,0,0,0,0,SP3
N24W33 _1689,0,0,NA,NA,SP3
N24W33 _1750,0,NA,NA,NA,SP3
N25W26 _1853,0,0,0,0,SP3
N25W26 _1854,0,0,0,0,SP3
N25W26 _1916,0,NA,NA,NA,SP3
N25W26 _1917,0,0,NA,0,SP3
N25W26 _1918,0,0,NA,0,SP3
N25W26 _1979,0,0,NA,NA,SP3
N25W26 _1980,0,0,1,NA,SP3
N25W26 _1981,0,0,0,0,SP3
N25W26 _2042,0,0,0,0,SP3
N25W26 _2043,0,0,0,1,SP3
N25W26 _2044,0,1,0,0,SP3
N25W26 _2105,0,0,NA,NA,SP3
N25W26 _2107,0,0,NA,NA,SP3
N25W26 _2108,0,NA,NA,NA,SP3
N25W27 _1978,0,NA,NA,NA,SP3
N25W28 _1841,0,NA,NA,NA,SP3
N25W28 _1842,0,NA,0,NA,SP3
N25W28 _1843,0,NA,NA,NA,SP3
N25W28 _2093,0,0,NA,NA,SP3
N25W29 _1836,0,NA,NA,NA,SP3
N25W29 _1837,0,0,1,0,SP3
N25W29 _1838,0,0,0,0,SP3
N25W29 _1839,0,0,0,NA,SP3
N25W29 _1899,0,0,NA,NA,SP3
N25W29 _1900,0,0,1,0,SP3
N25W29 _1901,0,0,NA,NA,SP3
N25W29 _1902,0,0,0,NA,SP3
N25W29 _1903,0,0,NA,NA,SP3
N25W29 _1962,0,NA,0,0,SP3
N25W29 _1963,0,NA,0,0,SP3
N25W29 _1964,0,0,NA,NA,SP3
N25W29 _1965,0,NA,NA,NA,SP3
N25W29 _1966,0,NA,NA,NA,SP3
N25W29 _2025,0,NA,NA,NA,SP3
N25W29 _2026,0,NA,NA,NA,SP3
N25W29 _2027,0,NA,0,0,SP3
N25W29 _2028,0,NA,0,0,SP3
N25W29 _2029,0,NA,NA,NA,SP3
N25W29 _2089,0,NA,NA,NA,SP3
N25W29 _2090,0,NA,0,0,SP3
N25W29 _2091,0,NA,0,0,SP3
N25W29 _2092,0,0,NA,NA,SP3
N25W30 _1898,0,NA,NA,NA,SP3
N25W30 _1958,0,NA,NA,NA,SP3
N25W30 _1961,0,NA,NA,0,SP3
N25W30 _2021,0,NA,NA,NA,SP3
N25W30 _2022,0,NA,NA,0,SP3
N25W30 _2024,0,0,NA,NA,SP3
N25W30 _2084,0,NA,NA,NA,SP3
N25W30 _2085,0,0,0,0,SP3
N25W30 _2086,1,0,0,0,SP3
N25W34 _1685,1,0,NA,NA,SP3
N25W34 _1686,0,0,NA,NA,SP3
N25W34 _1747,0,NA,NA,NA,SP3
N25W34 _1748,0,NA,0,NA,SP3
N25W34 _1749,0,NA,0,0,SP3
N25W34 _1810,0,0,NA,NA,SP3
N25W34 _1811,0,0,NA,NA,SP3
N25W34 _1872,0,NA,0,0,SP3
N25W34 _1873,0,NA,1,0,SP3
N25W34 _1874,0,NA,0,NA,SP3
N25W34 _1875,0,NA,0,NA,SP3
N25W34 _1933,0,NA,NA,NA,SP3
N25W34 _1995,0,NA,NA,NA,SP3
N25W34 _1996,0,0,NA,NA,SP3
N25W34 _1997,0,0,NA,NA,SP3
N26W26 _2168,0,0,NA,NA,SP3
N26W26 _2170,0,NA,NA,NA,SP3
N26W26 _2231,0,0,NA,NA,SP3
N26W26 _2233,0,0,NA,NA,SP3
N26W26 _2234,0,0,NA,NA,SP3
N26W26 _2294,0,0,NA,NA,SP3
N26W26 _2296,0,0,NA,NA,SP3
N26W26 _2357,0,NA,0,1,SP3
N26W26 _2358,0,0,0,0,SP3
N26W26 _2359,0,0,NA,NA,SP3
N26W26 _2420,0,0,NA,NA,SP3
N26W26 _2421,0,0,0,NA,SP3
N26W27 _2288,0,NA,NA,NA,SP3
N26W27 _2356,0,NA,0,NA,SP3
N26W28 _2156,0,NA,NA,NA,SP3
N26W28 _2160,0,NA,NA,NA,SP3
N26W28 _2161,0,NA,NA,NA,SP3
N26W28 _2219,0,0,NA,NA,SP3
N26W28 _2222,0,NA,NA,NA,SP3
N26W28 _2224,0,NA,NA,NA,SP3
N26W28 _2282,0,0,NA,NA,SP3
N26W28 _2346,0,0,NA,NA,SP3
N26W29 _2151,1,0,0,0,SP3
N26W29 _2152,0,0,0,NA,SP3
N26W29 _2153,0,0,0,NA,SP3
N26W29 _2154,0,0,NA,NA,SP3
N26W29 _2155,0,0,NA,NA,SP3
N26W29 _2214,0,0,NA,NA,SP3
N26W29 _2215,0,0,0,NA,SP3
N26W29 _2216,0,0,0,NA,SP3
N26W29 _2218,0,NA,NA,NA,SP3
N26W29 _2277,0,0,NA,NA,SP3
N26W29 _2278,0,0,NA,NA,SP3
N26W29 _2279,0,1,0,NA,SP3
N26W29 _2281,0,NA,NA,NA,SP3
N26W29 _2340,0,0,NA,NA,SP3
N26W29 _2341,0,0,NA,NA,SP3
N26W29 _2342,0,NA,0,NA,SP3
N26W29 _2343,0,NA,0,NA,SP3
N26W29 _2404,0,NA,NA,NA,SP3
N26W30 _2147,0,0,NA,NA,SP3
N26W30 _2148,0,NA,0,NA,SP3
N26W30 _2149,0,0,0,0,SP3
N26W30 _2150,0,1,1,0,SP3
N26W30 _2208,0,NA,NA,0,SP3
N26W30 _2210,0,1,NA,NA,SP3
N26W30 _2211,0,0,NA,NA,SP3
N26W30 _2212,0,1,0,NA,SP3
N26W30 _2213,0,0,0,NA,SP3
N26W30 _2271,0,NA,NA,NA,SP3
N26W30 _2272,0,0,0,NA,SP3
N26W30 _2273,0,0,0,NA,SP3
N26W30 _2274,0,0,NA,NA,SP3
N26W30 _2276,0,NA,NA,NA,SP3
N26W30 _2334,0,1,0,NA,SP3
N26W30 _2335,0,0,0,NA,SP3
N26W30 _2336,0,0,NA,NA,SP3
N26W31 _2205,0,NA,NA,NA,SP3
N26W31 _2206,0,0,NA,NA,SP3
N26W31 _2207,0,1,0,NA,SP3
N26W31 _2269,0,0,0,NA,SP3
N26W31 _2270,0,NA,NA,NA,SP3
N26W31 _2333,0,0,NA,NA,SP3
N26W31 _2395,0,NA,NA,NA,SP3
N26W32 _2199,0,0,NA,NA,SP3
N26W32 _2262,0,0,NA,NA,SP3
N26W32 _2263,0,0,NA,NA,SP3
N26W32 _2324,0,NA,NA,NA,SP3
N26W32 _2326,0,0,NA,NA,SP3
N26W32 _2389,0,0,NA,NA,SP3
N26W32 _2390,0,0,NA,NA,SP3
N26W33 _2385,0,NA,NA,NA,SP3
N26W34 _2059,0,0,NA,NA,SP3
N26W34 _2060,0,NA,NA,NA,SP3
N26W34 _2122,0,0,NA,0,SP3
N26W34 _2123,0,NA,NA,NA,SP3
N26W34 _2187,0,NA,NA,NA,SP3
N26W34 _2188,0,NA,NA,NA,SP3
N26W34 _2250,0,NA,NA,NA,SP3
N26W34 _2312,0,NA,NA,0,SP3
N26W34 _2313,0,NA,NA,0,SP3
N26W35 _2057,0,NA,NA,0,SP3
N26W35 _2058,0,NA,NA,0,SP3
N26W35 _2119,0,NA,NA,NA,SP3
N26W35 _2121,0,NA,NA,0,SP3
N26W35 _2181,0,NA,NA,NA,SP3
N26W35 _2244,0,NA,NA,NA,SP3
N26W35 _2247,0,NA,NA,NA,SP3
N26W35 _2308,0,NA,NA,NA,SP3
N26W35 _2309,0,NA,NA,NA,SP3
N26W35 _2310,0,NA,NA,NA,SP3
N26W35 _2369,0,NA,NA,NA,SP3
N26W35 _2370,0,NA,NA,NA,SP3
N26W35 _2371,0,NA,NA,NA,SP3
N27W26 _2483,0,NA,NA,NA,SP3
N27W26 _2546,1,NA,NA,NA,SP3
N27W27 _2482,0,NA,NA,NA,SP3
N27W27 _2545,0,NA,NA,NA,SP3
N27W29 _2466,0,NA,NA,NA,SP3
N27W29 _2530,0,NA,NA,NA,SP3
N27W29 _2531,0,NA,NA,NA,SP3
N27W29 _2592,0,0,NA,NA,SP3
N27W29 _2594,0,NA,NA,NA,SP3
N27W29 _2657,0,NA,NA,NA,SP3
N27W29 _2719,0,NA,0,NA,SP3
N27W29 _2720,0,NA,NA,NA,SP3
