Subgrid_ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Species
N20W26 _486,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N20W26 _487,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _518,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N20W26 _519,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _520,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _521,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N20W26 _553,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N20W26 _554,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _555,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _556,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N20W26 _588,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _589,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _591,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W26 _592,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N20W27 _444,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N20W27 _445,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W27 _477,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W27 _478,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N20W27 _479,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N20W27 _480,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N20W27 _482,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W27 _512,0,0,0,0,0,0,0,0,0,1,0,0,SP1
N20W27 _513,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W27 _514,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W27 _517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W27 _548,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N20W27 _552,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N20W27 _583,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N20W28 _437,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N20W28 _439,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _440,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _472,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _473,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W28 _509,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _543,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _544,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N20W28 _545,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W28 _546,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W28 _613,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _398,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _399,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _501,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N20W29 _502,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N20W29 _503,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _536,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _538,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N20W29 _571,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W29 _573,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N20W29 _574,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _606,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W29 _608,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N20W30 _500,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N20W30 _531,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N20W30 _535,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N20W30 _566,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N20W30 _570,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N20W30 _601,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W24 _822,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W24 _823,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W24 _875,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W24 _876,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W24 _935,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W24 _936,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N21W24 _937,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W24 _938,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N21W25 _769,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W25 _770,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W25 _816,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W25 _821,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W25 _874,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W25 _929,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W25 _930,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W25 _931,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N21W25 _932,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W26 _623,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
