"","Site_ID","SP1","SP1_SD","SP1_q2.5","SP1_q97.5","SP2","SP2_SD","SP2_q2.5","SP2_q97.5","SP3","SP3_SD","SP3_q2.5","SP3_q97.5"
"1","N16W28 _10","0.357787881863287","0.160832628465546","0.100479605089468","0.724254136168558","0.188955616425682","0.0910780787691654","0.0532513278559882","0.39891338041375","0.494191676817197","0.175966705540896","0.167544243343953","0.852283067859704"
"2","N16W28 _11","0.362906167073475","0.162559611503584","0.100824820610518","0.733654866535226","0.189470940393938","0.0915608197442364","0.0535684058567896","0.400003189449988","0.478372073726462","0.175591800259581","0.157029086451669","0.844676214970199"
"3","N16W28 _12","0.37032906050063","0.155376969678729","0.106312110479265","0.717301197700898","0.298522305774217","0.104136897132072","0.121016300032666","0.538068615507888","0.522338787771907","0.166609983618085","0.185583099518986","0.849747839188332"
"4","N16W28 _13","0.436349087548887","0.196215563152924","0.10609933686478","0.837461693367499","0.326973637448469","0.143869354720329","0.106253462800711","0.644411921007227","0.315260335015555","0.170225360230259","0.0692430848459147","0.752895321455276"
"5","N16W28 _21","0.51731698710801","0.173529027843115","0.170687159576718","0.836984843628237","0.712276644296444","0.116088279342693","0.45660887067556","0.895608869830602","0.639368193422577","0.177488582655009","0.244787310852125","0.921309098456146"
"6","N16W28 _22","0.49065364951665","0.163977559953844","0.162513743570296","0.804840233558288","0.681478863365011","0.11257004268033","0.431627745165846","0.866151473232187","0.690705550118078","0.161668307119083","0.304183305382638","0.932616625694522"
"7","N16W28 _23","0.356272356301111","0.143651636109213","0.112413342018316","0.687499328194145","0.384137839583188","0.103331250036969","0.184238597999415","0.62513813584444","0.650636222463452","0.155823123209913","0.289117191299168","0.904024710118958"
"8","N16W28 _24","0.449823505542695","0.153364162541311","0.152812605447326","0.758685634762823","0.629220545208771","0.108877155021981","0.391730475413238","0.818471838682809","0.738362325988006","0.14425463589552","0.372411489368394","0.943822973349627"
"9","N16W28 _25","0.288741223876078","0.16268482443046","0.0596001951522757","0.692338391532369","0.186523984787181","0.111984801969096","0.03907319666282","0.450892226001173","0.756679023264581","0.16083747873348","0.364046778973979","0.964413514472691"
"10","N16W28 _26","0.300883688800267","0.15419687767953","0.0729002266468296","0.676378706456474","0.20977550885056","0.108352994328131","0.0552558635674269","0.466185389366428","0.706904915561286","0.166487715358635","0.318864954766452","0.947269913824521"
"11","N16W28 _34","0.545578405047775","0.173554762161581","0.187114415737118","0.854980685939255","0.722528740963465","0.116399454899614","0.464794756180292","0.904734761883077","0.592083759166569","0.181699301838192","0.209822424586856","0.896503862469953"
"12","N16W28 _35","0.513971285966769","0.173326053467942","0.167677418347042","0.835432607146253","0.707164424876392","0.116174990297493","0.455292670376538","0.893824598770744","0.611790373606058","0.180699179749433","0.222456107741486","0.906308727913972"
"13","N16W28 _36","0.383461189282091","0.157232522387581","0.110391206661045","0.732975355565062","0.399471473706333","0.114553189370169","0.18795668542403","0.667531594024051","0.503727355619376","0.16914249001826","0.157349079843538","0.827371758001328"
"14","N16W28 _37","0.454449383845022","0.152589979709468","0.157104800853895","0.759934714550026","0.627749272757677","0.10780201493309","0.390930804479935","0.817080419622509","0.719871299064123","0.147363937098712","0.351867955515649","0.934901514775217"
"15","N16W28 _38","0.283974745271115","0.16664809327859","0.0540795436360895","0.702372228170077","0.180442363825686","0.114942646343315","0.0340837850138033","0.453286445682805","0.761667172417903","0.163755105988295","0.35717684571062","0.967281244977433"
"16","N16W28 _39","0.277791385730637","0.172441042295931","0.048783087838333","0.714978217232748","0.197467395130416","0.129205876681441","0.0352205458014778","0.516146280662728","0.796565536049916","0.155576496447236","0.4047238419186","0.977424901280188"
"17","N16W28 _47","0.503214359802251","0.167427811846188","0.168680031066065","0.821637750154411","0.679549325330943","0.115506804875808","0.427373494072114","0.879032711225595","0.546779075955625","0.180728091228671","0.17460685526136","0.864403034370709"
"18","N16W28 _48","0.49632200647153","0.165645379921803","0.165659851269416","0.81393590932491","0.675900533483076","0.11374265311624","0.427392877208358","0.871241806122991","0.583374658211549","0.177077928217099","0.204623435309763","0.882840636982706"
"19","N16W28 _49","0.371671043240079","0.152559809394634","0.112049335676602","0.718715798451204","0.333246445754956","0.109031711413959","0.141156187618827","0.593634313492547","0.470408459035868","0.165899065140697","0.140281895055569","0.806945574218873"
"20","N16W28 _50","0.505919935333824","0.166990757355258","0.169434073634465","0.820195151623095","0.695039101046362","0.113561645237434","0.441984321218627","0.878512117432905","0.668371892679897","0.167486502601536","0.278573346918315","0.925159352861135"
"21","N16W28 _51","0.304711505411502","0.15783324441264","0.0714407865333414","0.689549370292789","0.178560211419926","0.100421695922944","0.0415152106611972","0.426554481203147","0.663322776783443","0.178419737688304","0.26921895192356","0.934751038591695"
"22","N16W28 _52","0.333018072250709","0.143864868594358","0.0988385941679976","0.669320422977572","0.274524480755523","0.0996129929763118","0.102973396872819","0.506629512365928","0.653959985422693","0.158292160708445","0.302805917602224","0.910781305808717"
"23","N16W28 _60","0.525443205923461","0.16384101835954","0.190398517731455","0.831052319905565","0.683452243494343","0.114482552061028","0.426901162316789","0.881456908782252","0.516570146027861","0.178300040833016","0.158726964137598","0.847915472595486"
"24","N16W28 _61","0.4091956158932","0.15164530804329","0.132882099808023","0.734223875886826","0.518827413089445","0.1121730866086","0.284831819354151","0.765618978465228","0.539917195046302","0.169811357295639","0.164675928456075","0.836747965860017"
"25","N16W28 _62","0.362981353507405","0.143018011967833","0.118782512922084","0.692768265341814","0.40895417826598","0.106303266942953","0.200569277209979","0.651071554854016","0.607319769998042","0.161912498258148","0.236013880044929","0.881080578125724"
"26","N16W28 _63","0.437513929112666","0.147034059837111","0.155953488442125","0.748666598921315","0.592321621270171","0.106523006709446","0.360955016961322","0.789537045053302","0.745315183895754","0.136834753146531","0.397384435951009","0.943352669146387"
"27","N16W28 _64","0.292719137849351","0.163778494818906","0.0611999610054227","0.698777518525102","0.168560245769014","0.105204298962827","0.0329803514086478","0.416635529932758","0.709464818869909","0.176303470551015","0.301484625856907","0.952471209958587"
"28","N16W28 _65","0.378989190407849","0.16258914311251","0.104571584482911","0.737230270186041","0.257282682599607","0.104012200883612","0.0953490813349216","0.489153221716599","0.453346099457947","0.168550312062057","0.144453121896725","0.822690193307287"
"29","N16W28 _73","0.525248458178509","0.163298889685063","0.191098380353871","0.8296263813427","0.683524402325278","0.113818125924851","0.429432656766168","0.880128201047127","0.528356349836594","0.177432282217892","0.167533395050226","0.854411319200897"
"30","N16W28 _74","0.380255838811708","0.153807874827015","0.114767064862985","0.727373185429837","0.351345933909259","0.113086327219725","0.149511571048733","0.626474849976098","0.431846839418906","0.164719806423551","0.116984704487984","0.774589909877207"
"31","N16W28 _75","0.511179163063091","0.176663994185301","0.16139288597748","0.842457376803158","0.712052637311823","0.117705715114329","0.456735252244492","0.898781668145967","0.615286606961888","0.183583560665772","0.219615484467173","0.913100968089073"
"32","N16W28 _76","0.36607556771669","0.14221515167917","0.114836744873959","0.685978907706001","0.457648758176523","0.105044494165444","0.24511737812089","0.68907826154081","0.706941144644209","0.147137875994825","0.346523422477485","0.929531369682788"
"33","N16W28 _77","0.29325637281267","0.160123769081249","0.0646860765188312","0.684633230214677","0.187292312074473","0.108687783249805","0.0413326858042739","0.443646914428276","0.73154811075809","0.166196565212706","0.338233823916495","0.957647780020181"
"34","N16W28 _78","0.374236061760565","0.152755790279893","0.109585756132376","0.71670290291489","0.391411675908434","0.109128531161291","0.188619629305402","0.648160517956831","0.571853061917395","0.165704447709677","0.210047589118242","0.870133603672328"
